Orden;Artículo;Descripción:;Descripción:;Dpto;Instalación;Oper;CBT;Última actividad;Fecha de creación
M001850;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;12/01/2024;13/02/2007
M001850;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;12/01/2024;19/01/2013
M002390;556;CONVERTIDORA VI ( SEIS );P/cote C1s Sbs 320 Gr 70 X100;CONV;CN606;10;P;12/01/2024;7/03/2023
M002390;556;CALIBRACION PAPEL;P/cote C1s Sbs 320 Gr 70 X100;CONV;CL001;20;P;12/01/2024;13/02/2007
M002390;556;MESA DE TERMINADOS CONV;P/cote C1s Sbs 320 Gr 70 X100;CONV;MT002;30;P;12/01/2024;19/01/2013
M002450;637;CONVERTIDORA VI ( SEIS );Propalcote C2s Mate;CONV;CN606;10;P;12/01/2024;7/03/2023
M002450;637;MESA DE TERMINADOS CONV;Propalcote C2s Mate;CONV;MT002;20;P;12/01/2024;19/01/2013
M002450;637;MESA DE TERMINADOS CONV;Propalcote C2s Mate;CONV;MT002;30;P;12/01/2024;19/01/2013
M002860;10310;CONVERTIDORA VI ( SEIS );Bond Blanco A.b. 75gr 60 X 90;CONV;CN606;10;P;12/01/2024;7/03/2023
M002860;10310;CALIBRACION PAPEL;Bond Blanco A.b. 75gr 60 X 90;CONV;CL001;20;P;12/01/2024;13/02/2007
M002860;10310;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 60 X 90;CONV;MT002;30;P;12/01/2024;19/01/2013
M003240;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;12/01/2024;8/05/2019
M003240;40;CALIBRACION PAPEL;Bond Blanco A.b. 75gr 70 X 100;CONV;CL001;20;P;12/01/2024;13/02/2007
M003240;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;12/01/2024;19/01/2013
M003250;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;12/01/2024;8/05/2019
M003250;40;CALIBRACION PAPEL;Bond Blanco A.b. 75gr 70 X 100;CONV;CL001;20;P;12/01/2024;13/02/2007
M003250;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;12/01/2024;19/01/2013
M995450;580;CONVERTIDORA VI ( SEIS );Esmaltado C2s 150 Gr 70 X100;CONV;CN606;10;P;12/01/2024;7/03/2023
M995450;580;CALIBRACION PAPEL;Esmaltado C2s 150 Gr 70 X100;CONV;CL001;20;P;12/01/2024;13/02/2007
M995450;580;MESA DE TERMINADOS CONV;Esmaltado C2s 150 Gr 70 X100;CONV;MT002;30;P;12/01/2024;19/01/2013
M002160;63194;AQUAFLEX 8C II;Hj 12 X 11 Bono Canasta;LIBR;IF003;10;P;15/01/2024;24/11/2014
M002160;63194;PREPRENSA FLEXO;Hj 12 X 11 Bono Canasta;PREP;PP002;20;C;15/01/2024;14/12/2012
M002170;63192;AQUAFLEX 8C II;Hj 12 X 11 Bono Dotacion;LIBR;IF003;10;P;15/01/2024;24/11/2014
M002170;63192;PREPRENSA FLEXO;Hj 12 X 11 Bono Dotacion;PREP;PP002;20;C;15/01/2024;14/12/2012
M007310;SE6262876;AQUAFLEX 8C;Bob Bond 71/4x 7 1/3chq Gerenc;LIBR;IF001;10;4;15/01/2024;1/10/2010
M007310;SE6262876;COLECTORA 550 III ( pertenece a valores;Bob Bond 71/4x 7 1/3chq Gerenc;LIBR;FC156;20;4;15/01/2024;4/09/2012
M923880;SE300001;PHP III - 1;Troq Ecol 60 Gr Sobre De Pago;SOT;ST300;10;4;15/01/2024;18/10/2006
M002150;63193;AQUAFLEX 8C II;Hj 12 X 11 Bono Premium;LIBR;IF003;10;P;16/01/2024;24/11/2014
M002150;63193;PREPRENSA FLEXO;Hj 12 X 11 Bono Premium;PREP;PP002;20;C;16/01/2024;14/12/2012
M002210;63191;AQUAFLEX 8C II;Hj 12 X 11 Bono Gasolina;LIBR;IF003;10;P;16/01/2024;24/11/2014
M002210;63191;PREPRENSA FLEXO;Hj 12 X 11 Bono Gasolina;PREP;PP002;20;C;16/01/2024;14/12/2012
M002220;63193;AQUAFLEX 8C II;Hj 12 X 11 Bono Premium;LIBR;IF003;10;P;16/01/2024;24/11/2014
M002220;63193;PREPRENSA FLEXO;Hj 12 X 11 Bono Premium;PREP;PP002;20;C;16/01/2024;14/12/2012
M003360;59953;ARMADORA  DE VASOS 1;Vaso 16 Oz Frio Blanco;VASO;VAS02;10;P;16/01/2024;3/01/2023
M003360;59953;TERCEROS;Vaso 16 Oz Frio Blanco;TERC;TR001;20;C;16/01/2024;22/05/2007
M003990;63225;AQUAFLEX 8C II;Hj  12 X 27,5 Sor 4834 Man;LIBR;IF003;10;4;16/01/2024;24/11/2014
M003990;63225;GUILLOTINA III VALORES;Hj  12 X 27,5 Sor 4834 Man;LIBR;GL651;20;4;16/01/2024;17/01/2007
M003990;63225;PREPRENSA FLEXO;Hj  12 X 27,5 Sor 4834 Man;PREP;PP002;30;C;16/01/2024;14/12/2012
M003990;63225;MESA DE TERMINADOS LIBR;Hj  12 X 27,5 Sor 4834 Man;LIBR;MT003;40;4;16/01/2024;11/10/2016
M006460;MPAF999710320;IMPRESORA FLEXO BANDA ANCHA;Termico Kt70 Lfa A=32 Rebobi;IFLE;IFX01;10;P;16/01/2024;14/12/2023
M007420;SE6262877;AQUAFLEX 8C;Bob Bond 81/2x 7 1/3chq Gerenc;LIBR;IF001;10;4;16/01/2024;1/10/2010
M007420;SE6262877;COLECTORA 550 III ( pertenece a valores;Bob Bond 81/2x 7 1/3chq Gerenc;LIBR;FC156;20;4;16/01/2024;4/09/2012
M002320;20;CONVERTIDORA V;Bond Blanco A.b. 60gr 70 X 100;CONV;CN605;10;P;17/01/2024;8/05/2019
M002320;20;GUILLOTINA DE CONVERSION;Bond Blanco A.b. 60gr 70 X 100;CONV;GL652;20;P;17/01/2024;28/06/2007
M002320;20;MESA DE TERMINADOS CONV;Bond Blanco A.b. 60gr 70 X 100;CONV;MT002;30;P;17/01/2024;19/01/2013
M002330;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;17/01/2024;8/05/2019
M002330;40;GUILLOTINA DE CONVERSION;Bond Blanco A.b. 75gr 70 X 100;CONV;GL652;20;P;17/01/2024;28/06/2007
M002330;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;17/01/2024;19/01/2013
M002350;394;CONVERTIDORA V;Bristol Bco 150 Gr 70 X100;CONV;CN605;10;P;17/01/2024;8/05/2019
M002350;394;CALIBRACION PAPEL;Bristol Bco 150 Gr 70 X100;CONV;CL001;20;P;17/01/2024;13/02/2007
M002350;394;MESA DE TERMINADOS CONV;Bristol Bco 150 Gr 70 X100;CONV;MT002;30;P;17/01/2024;19/01/2013
M002360;394;CONVERTIDORA V;Bristol Bco 150 Gr 70 X100;CONV;CN605;10;P;17/01/2024;8/05/2019
M002360;394;CALIBRACION PAPEL;Bristol Bco 150 Gr 70 X100;CONV;CL001;20;P;17/01/2024;13/02/2007
M002360;394;MESA DE TERMINADOS CONV;Bristol Bco 150 Gr 70 X100;CONV;MT002;30;P;17/01/2024;19/01/2013
M002830;60;CONVERTIDORA V;Bond 90 Gr 70 X 100;CONV;CN605;10;P;17/01/2024;8/05/2019
M002830;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;20;P;17/01/2024;19/01/2013
M002830;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;30;P;17/01/2024;19/01/2013
M003470;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;17/01/2024;8/05/2019
M003470;40;CALIBRACION PAPEL;Bond Blanco A.b. 75gr 70 X 100;CONV;CL001;20;P;17/01/2024;13/02/2007
M003470;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;17/01/2024;19/01/2013
M003550;12753;CONVERTIDORA V;P/cote C2s 150 Gr 60 X90;CONV;CN605;10;P;17/01/2024;8/05/2019
M003550;12753;MESA DE TERMINADOS CONV;P/cote C2s 150 Gr 60 X90;CONV;MT002;20;P;17/01/2024;19/01/2013
M003550;12753;MESA DE TERMINADOS CONV;P/cote C2s 150 Gr 60 X90;CONV;MT002;30;P;17/01/2024;19/01/2013
M005080;550;CONVERTIDORA V;P/cote C1s Sbs 280 Gr 70 X100;CONV;CN605;10;P;17/01/2024;8/05/2019
M005080;550;MESA DE TERMINADOS CONV;P/cote C1s Sbs 280 Gr 70 X100;CONV;MT002;20;P;17/01/2024;19/01/2013
M005080;550;MESA DE TERMINADOS CONV;P/cote C1s Sbs 280 Gr 70 X100;CONV;MT002;30;P;17/01/2024;19/01/2013
M006820;99761;CONVERTIDORA V;70x70 Cart. Desacificada 273gr;CONV;CN605;10;P;17/01/2024;8/05/2019
M006820;99761;CALIBRACION PAPEL;70x70 Cart. Desacificada 273gr;CONV;CL001;20;P;17/01/2024;13/02/2007
M006820;99761;MESA DE TERMINADOS CONV;70x70 Cart. Desacificada 273gr;CONV;MT002;30;P;17/01/2024;19/01/2013
M989350;72659;DIDDE GLASER I;Hj 8 1/2 X11 Franja Verde;FORM;FC012;10;P;17/01/2024;26/07/2010
M989350;72659;PREPRENSA LITO;Hj 8 1/2 X11 Franja Verde;PREP;PP001;20;C;17/01/2024;13/02/2007
M997850;6177;CONVERTIDORA VI ( SEIS );Earth Pack Natural Ofset 295;CONV;CN606;10;P;17/01/2024;7/03/2023
M997850;6177;CALIBRACION PAPEL;Earth Pack Natural Ofset 295;CONV;CL001;20;P;17/01/2024;13/02/2007
M997850;6177;MESA DE TERMINADOS CONV;Earth Pack Natural Ofset 295;CONV;MT002;30;P;17/01/2024;19/01/2013
M002870;SE000208;CONVERTIDORA IV;Envoltura Kraft 85gr 125x157;CONV;CN603;10;4;18/01/2024;17/01/2007
M002880;SE000214;CONVERTIDORA IV;Envltra Nturl 85gr 125x157 Imp;CONV;CN603;10;4;18/01/2024;17/01/2007
M007320;SE6162876;AQUAFLEX 8C;Bob Pma71/4x7 1/3chq  Gerencia;LIBR;IF001;10;4;18/01/2024;1/10/2010
M007320;SE6162876;COLECTORA 550 III ( pertenece a valores;Bob Pma71/4x7 1/3chq  Gerencia;LIBR;FC156;20;4;18/01/2024;4/09/2012
M007320;SE6162876;PREPRENSA FLEXO;Bob Pma71/4x7 1/3chq  Gerencia;PREP;PP002;30;C;18/01/2024;14/12/2012
M007320;SE6162876;HEATH 2C;Bob Pma71/4x7 1/3chq  Gerencia;LIBR;FC010;40;4;18/01/2024;18/10/2006
M007510;SE6262877;AQUAFLEX 8C;Bob Bond 81/2x 7 1/3chq Gerenc;LIBR;IF001;10;4;18/01/2024;1/10/2010
M007510;SE6262877;COLECTORA 550 III ( pertenece a valores;Bob Bond 81/2x 7 1/3chq Gerenc;LIBR;FC156;20;4;18/01/2024;4/09/2012
M987790;59515;AQUAFLEX 8C III;Rollo Para Ensayo Y/o Muestra;LIBR;IF004;10;P;18/01/2024;4/09/2023
M004000;SE6163209;AQUAFLEX 8C;Bob Pma 90 8 1/2 X 11 Chq;LIBR;IF001;10;4;19/01/2024;1/10/2010
M004000;SE6163209;COLECTORA 550 III ( pertenece a valores;Bob Pma 90 8 1/2 X 11 Chq;LIBR;FC156;20;4;19/01/2024;4/09/2012
M004000;SE6163209;PREPRENSA FLEXO;Bob Pma 90 8 1/2 X 11 Chq;PREP;PP002;30;C;19/01/2024;14/12/2012
M004020;63209;CLICK IMPRESION MATRIZ;Fc 8 1/2 X 11 2p Cheque;LIBR;IV002;10;C;19/01/2024;24/05/2016
M004020;63209;CLICK IMPRESION LASER;Fc 8 1/2 X 11 2p Cheque;LIBR;IV001;20;C;19/01/2024;24/05/2016
M004020;63209;CLICK IMPRESION LASER;Fc 8 1/2 X 11 2p Cheque;LIBR;IV001;30;4;19/01/2024;24/05/2016
M004020;63209;IMPRESION KERNING;Fc 8 1/2 X 11 2p Cheque;LIBR;IV003;40;4;19/01/2024;24/05/2016
M004020;63209;CLICK IMPRESION MATRIZ;Fc 8 1/2 X 11 2p Cheque;LIBR;IV002;50;4;19/01/2024;24/05/2016
M004020;63209;BO BUNCH ( no pertenece a valores );Fc 8 1/2 X 11 2p Cheque;LIBR;FC154;60;4;19/01/2024;18/10/2006
M004020;63209;MESA DE TERMINADOS LIBR;Fc 8 1/2 X 11 2p Cheque;LIBR;MT003;70;4;19/01/2024;11/10/2016
M004030;SE6163226;AQUAFLEX 8C;Bob Pma 90 8 1/2 X 11 Chq;LIBR;IF001;10;4;19/01/2024;1/10/2010
M004030;SE6163226;COLECTORA 550 III ( pertenece a valores;Bob Pma 90 8 1/2 X 11 Chq;LIBR;FC156;20;4;19/01/2024;4/09/2012
M004030;SE6163226;PREPRENSA FLEXO;Bob Pma 90 8 1/2 X 11 Chq;PREP;PP002;30;C;19/01/2024;14/12/2012
M004030;SE6163226;HEATH 2C;Bob Pma 90 8 1/2 X 11 Chq;LIBR;FC010;40;4;19/01/2024;18/10/2006
M006830;99005;AQUAFLEX 8C;Ensayo Y/o Muestra Choco Cono;LIBR;IF001;10;;19/01/2024;1/10/2010
M007030;99006;AQUAFLEX 8C II;Loteria Dispapeles Muestra;LIBR;IF003;10;4;19/01/2024;24/11/2014
M007030;99006;GUILLOTINA III VALORES;Loteria Dispapeles Muestra;LIBR;GL651;20;4;19/01/2024;17/01/2007
M007030;99006;MESA DE TERMINADOS LIBR;Loteria Dispapeles Muestra;LIBR;MT003;30;4;19/01/2024;11/10/2016
M989450;62938;CLICK IMPRESION MATRIZ;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;IV002;10;C;19/01/2024;24/05/2016
M989450;62938;CLICK IMPRESION LASER;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;IV001;20;C;19/01/2024;24/05/2016
M989450;62938;CLICK IMPRESION LASER;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;IV001;30;4;19/01/2024;24/05/2016
M989450;62938;IMPRESION KERNING;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;IV003;40;4;19/01/2024;24/05/2016
M989450;62938;CLICK IMPRESION MATRIZ;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;IV002;50;4;19/01/2024;24/05/2016
M989450;62938;CLICK IMPRESION MATRIZ;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;IV002;60;4;19/01/2024;24/05/2016
M989450;62938;COLECTORA 550 III ( pertenece a valores;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;FC156;70;4;19/01/2024;4/09/2012
M989450;62938;MESA DE TERMINADOS LIBR;Fc 8 1/2 X 8 1/2 2p Cheque;LIBR;MT003;80;4;19/01/2024;11/10/2016
M004170;59572;ROBOSUM;Ro 80 X 60 T/mico 48 Gr S/bpa;ROLL;RO403;10;P;22/01/2024;24/05/2010
M007150;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;23/01/2024;8/05/2019
M007150;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;23/01/2024;13/02/2007
M007150;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;23/01/2024;19/01/2013
M007160;590;CONVERTIDORA IV;P/cote C2s 200 Gr 70 X100;CONV;CN603;10;P;23/01/2024;17/01/2007
M007160;590;GUILLOTINA DE CONVERSION;P/cote C2s 200 Gr 70 X100;CONV;GL652;20;P;23/01/2024;28/06/2007
M007160;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;23/01/2024;19/01/2013
M000160;570;CONVERTIDORA VI ( SEIS );P/cote C2s 115 Gr 70x100;CONV;CN606;10;P;24/01/2024;7/03/2023
M000160;570;CALIBRACION PAPEL;P/cote C2s 115 Gr 70x100;CONV;CL001;20;P;24/01/2024;13/02/2007
M000160;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;24/01/2024;19/01/2013
M000500;59707;ROBOSUM;Ro 76 X 40 Bond 60 Gr;ROLL;RO403;10;P;24/01/2024;24/05/2010
M000730;63179;DIDDE GLASER II;Hj 8 1/2x11 Extractos 2024;FORM;FC013;10;P;24/01/2024;14/12/2012
M000730;63179;PREPRENSA LITO;Hj 8 1/2x11 Extractos 2024;PREP;PP001;20;C;24/01/2024;13/02/2007
M001130;SE7163160;IMPRESION  DE BOLSAS;Bob Earth T 81 Gr 23.5*33*12;BOLS;BLS02;10;P;24/01/2024;12/10/2021
M001740;62311;ROBOSUM III;Rollo 80 X 60 Rollo Occidente;ROLL;RO408;10;P;24/01/2024;23/12/2019
M001740;62311;PREPRENSA FLEXO;Rollo 80 X 60 Rollo Occidente;PREP;PP002;20;C;24/01/2024;14/12/2012
M001770;62886;W + D 627;Sc 23,5 X 12 Hogier Gartner;SDC;SC202;10;P;24/01/2024;13/03/2008
M001770;62886;PREPRENSA LITO;Sc 23,5 X 12 Hogier Gartner;PREP;PP001;20;C;24/01/2024;13/02/2007
M001780;SE362886;PHP III - 1;Troq Bond118 Gr 23,5 X 12cm;SOT;ST300;10;4;24/01/2024;18/10/2006
M002490;63214;DIDDE GLASER II;Hj 8 1/2 X 11 Ac Enero 2024;FORM;FC013;10;P;24/01/2024;14/12/2012
M002490;63214;PREPRENSA LITO;Hj 8 1/2 X 11 Ac Enero 2024;PREP;PP001;20;C;24/01/2024;13/02/2007
M002620;62800;OLIMPIC II;Rollo 75 X 40 Coomultrasan;ROLL;RO401;10;P;24/01/2024;18/10/2006
M002620;62800;PREPRENSA LITO;Rollo 75 X 40 Coomultrasan;PREP;PP001;20;C;24/01/2024;13/02/2007
M002630;SE5162800;HARRIS MR 1000;Bob Bond 56 Gr 75 X 40 Impreso;FORM;FC006;10;P;24/01/2024;18/10/2006
M002770;63216;DIDDE GLASER II;Hj 8 1/2x11 Factura Enero-marz;FORM;FC013;10;P;24/01/2024;14/12/2012
M002770;63216;PREPRENSA LITO;Hj 8 1/2x11 Factura Enero-marz;PREP;PP001;20;C;24/01/2024;13/02/2007
M002810;61664;OLIMPIC I;Rollo 80 X 60 Impreso;ROLL;RO400;10;P;24/01/2024;18/10/2006
M002810;61664;PREPRENSA FLEXO;Rollo 80 X 60 Impreso;PREP;PP002;20;C;24/01/2024;14/12/2012
M003090;62334;ROBOSUM III;Rollo 102 X 30 Term Sin Imp.;ROLL;RO408;10;P;24/01/2024;23/12/2019
M003500;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;24/01/2024;8/05/2019
M003500;40;CALIBRACION PAPEL;Bond Blanco A.b. 75gr 70 X 100;CONV;CL001;20;P;24/01/2024;13/02/2007
M003500;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;24/01/2024;19/01/2013
M003530;394;CONVERTIDORA V;Bristol Bco 150 Gr 70 X100;CONV;CN605;10;P;24/01/2024;8/05/2019
M003530;394;CALIBRACION PAPEL;Bristol Bco 150 Gr 70 X100;CONV;CL001;20;P;24/01/2024;13/02/2007
M003530;394;MESA DE TERMINADOS CONV;Bristol Bco 150 Gr 70 X100;CONV;MT002;30;P;24/01/2024;19/01/2013
M003580;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;24/01/2024;17/01/2007
M003580;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;24/01/2024;13/02/2007
M003580;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;24/01/2024;19/01/2013
M003590;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;24/01/2024;17/01/2007
M003590;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;24/01/2024;13/02/2007
M003590;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;24/01/2024;19/01/2013
M003600;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;24/01/2024;17/01/2007
M003600;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;24/01/2024;13/02/2007
M003600;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;24/01/2024;19/01/2013
M003640;63154;OLIMPIC II;Rol 101,6 X 22,4  Rollo Termic;ROLL;RO401;10;P;24/01/2024;18/10/2006
M003640;63154;PREPRENSA FLEXO;Rol 101,6 X 22,4  Rollo Termic;PREP;PP002;20;C;24/01/2024;14/12/2012
M003790;63222;DIDDE GLASER II;Hj 8 1/2 X 11 Fact Dic 2023;FORM;FC013;10;P;24/01/2024;14/12/2012
M003790;63222;PREPRENSA LITO;Hj 8 1/2 X 11 Fact Dic 2023;PREP;PP001;20;C;24/01/2024;13/02/2007
M003800;76284;HARRIS MR 1000;Hj 8 1/2 X11 Factu Natural 72g;FORM;FC006;10;P;24/01/2024;18/10/2006
M003800;76284;PREPRENSA LITO;Hj 8 1/2 X11 Factu Natural 72g;PREP;PP001;20;C;24/01/2024;13/02/2007
M003810;62662;DIDDE GLASER II;Hj 8 1/2 X11 Hojas Impresas;FORM;FC013;10;P;24/01/2024;14/12/2012
M003810;62662;PREPRENSA LITO;Hj 8 1/2 X11 Hojas Impresas;PREP;PP001;20;C;24/01/2024;13/02/2007
M003840;SE5163201;STEVENS I;Bob Quim 54,5gr 14 X 8 1/2;FORM;FC007;10;4;24/01/2024;18/10/2006
M003850;SE5263201;STEVENS I;Bob Bond 75gr 14  X 8 1/2;FORM;FC007;10;4;24/01/2024;18/10/2006
M003860;63114;COLECTORA 550 I;Fs 14 X 8 1/2 Aportes Voluntar;FORM;FC150;10;P;24/01/2024;18/10/2006
M003860;63114;MESA DE TERMINADOS;Fs 14 X 8 1/2 Aportes Voluntar;EMPQ;MT001;20;P;24/01/2024;7/12/2006
M003860;63114;PREPRENSA LITO;Fs 14 X 8 1/2 Aportes Voluntar;PREP;PP001;30;C;24/01/2024;13/02/2007
M003870;SE5163114;STEVENS I;Bob Quim 54,5gr 14 X 8 1/2 2 P;FORM;FC007;10;4;24/01/2024;18/10/2006
M004070;57563;ROBOSUM II;Ro 80 X 60 T/mico 55 Gr;ROLL;RO406;10;P;24/01/2024;2/01/2015
M004080;61642;HARRIS MR 1000;Hj 8 1/2 X 11  Extracto Natura;FORM;FC006;10;P;24/01/2024;18/10/2006
M004080;61642;PREPRENSA LITO;Hj 8 1/2 X 11  Extracto Natura;PREP;PP001;20;C;24/01/2024;13/02/2007
M004120;59702;ROBOSUM II;Ro 57 X 40 Bond 60 Gr;ROLL;RO406;10;P;24/01/2024;2/01/2015
M004120;59702;ROBOSUM II;Ro 57 X 40 Bond 60 Gr;ROLL;RO406;20;P;24/01/2024;2/01/2015
M004570;394;CONVERTIDORA V;Bristol Bco 150 Gr 70 X100;CONV;CN605;10;P;24/01/2024;8/05/2019
M004570;394;CALIBRACION PAPEL;Bristol Bco 150 Gr 70 X100;CONV;CL001;20;P;24/01/2024;13/02/2007
M004570;394;MESA DE TERMINADOS CONV;Bristol Bco 150 Gr 70 X100;CONV;MT002;30;P;24/01/2024;19/01/2013
M006420;SE000034;CONVERTIDORA IV;Ecol 60 Gr 53 X 125,6 Cm;CONV;CN603;10;4;24/01/2024;17/01/2007
