Artículo;Descripción:;U/M almacenamiento;Peso unitario;U/M de peso;Gramaje;Ancho;Altura;UM dimensional;Área M2;Fecha de creación
SE2184350;OFFS 75 GR 69,5 X 97,1 CM 4:1;UN;50,61;GR;75;69,5;97,1;CM;0,674;4/09/2008
SE2284350;OFFS 75 GR 69,5 X 97,1 IMP 4:0;UN;50,61;GR;75;69,5;97,1;CM;0,675;4/09/2008
SE2384350;OFFS 75GR 69,5X97,1 CM IMP 4:1;UN;50,61;GR;75;69,5;97,1;CM;0,675;4/09/2008
SE384350;TROQ OFFS 75 GR 22,5 X 29 CM;UN;11;GR;75;22,5;29;CM;0,147;4/09/2008
SE5187724;BOB QUIM 54,5 GR 9 X 5 1/2 2P;UN;1,74;GR;54,5;9;5,5;IN;0,032;4/09/2008
SE5187725;BOB QUIM 54,5 GR 11 1/2 X 17;UN;6,78;GR;54,5;11,5;17;IN;0,126;5/09/2008
SE5187726;BOB QUIM 54,5 GR 8 1/2 X 3 2/3;UN;1,085;GR;54;8,5;3,66;IN;0,02;8/09/2008
SE5187727;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,17;GR;54;8,5;7,33;IN;0,04;9/09/2008
SE5187728;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,17;GR;54;8,5;7,33;IN;0,04;9/09/2008
SE5187729;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,17;GR;54;8,5;7,33;IN;0,04;9/09/2008
SE5187730;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,17;GR;54;8,5;7,33;IN;0,04;9/09/2008
SE5187731;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,17;GR;54;8,5;7,33;IN;0,04;9/09/2008
SE2182162;OFFS 75gr 83 X 50,3 CM IMP 1:1;UN;31,31;GR;75;83;50,3;CM;0,417;10/09/2008
SE382162;TROQ OFFS 75 GR 23,5 x 10,5 CM;UN;3,887;GR;75;23,5;10,5;CM;0,052;10/09/2008
SE5187732;BOB TERM 105 GR 4 X 2 1/8 IMP;KG;1;KG;105;4;2,125;IN;9,524;10/09/2008
SE2182373;OFFS 75gr 53,9 X 78,3 IMP 2:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;12/09/2008
SE2282373;OFFS 75gr 53,9 X 78,3 IMP 4:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;12/09/2008
SE382373;TROQ. OFFS 75gr 22,5 X 18,5 CM;UN;6,74;GR;75;22,5;18,5;CM;0,09;12/09/2008
SE5181286;BOB. TERM 55gr 79 X 60 IMPRESO;KG;1;KG;55;7,9;6000;CM;18,182;12/09/2008
SE5181287;BOB. TERM 55gr 79 X 60 IMPRESO;KG;1;KG;55;7,9;6000;CM;18,182;12/09/2008
SE5187733;BOB. QUIM 54,5gr 9 1/2X5 1/2 2;UN;1,837;GR;54,5;9,5;5,5;IN;0,034;12/09/2008
SE000135;KRAFT IRANÍ 55gr 53X125,6cm;UN;36,61;GR;55;53;125,6;CM;0,666;16/09/2008
SE2182375;OFFS 75gr 53,9X78,3 IMP 2:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;17/09/2008
SE2282375;OFFS 75gr 53,9X78,3 IMP 4:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;17/09/2008
SE382375;TROQ OFFS 75gr 22,5X18,5 CM;UN;6,74;GR;75;22,5;18,5;CM;0,09;17/09/2008
SE5180257;BOB BOND 56 gr 140X60 IMP 2:1;KG;1;KG;60;14;6000;CM;16,667;17/09/2008
SE5181288;BOB TERM 55gr 57 X 30 IMP LITO;KG;1;KG;55;5,7;3000;CM;18,182;20/09/2008
SE2182376;OFFS 75gr 59,2 X 98CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;22/09/2008
SE2282376;OFFS 75gr 59,2 X 98CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;22/09/2008
SE382376;TROQ OFFS 75 gr 23,4 X 15 CM;UN;5,9;GR;75;23,4;15;CM;0,079;22/09/2008
SE5187734;BOB QUIM 54,5gr 9 1/2 X 11 IMP;UN;3,64;GR;54;9,5;11;IN;0,067;24/09/2008
SE2184260;OFFS BCO 75gr 69,5X97,1 IM 2:0;UN;50,613;GR;75;69,5;97,1;CM;0,675;25/09/2008
SE2284260;OFFS BCO 75gr 69,5X97,1 IM 3:0;UN;50,613;GR;75;69,5;97,1;CM;0,675;25/09/2008
SE384260;TROQ OFFS 75gr 22,5 X 29 CM;UN;11;GR;75;22,5;29;CM;0,147;25/09/2008
SE2184351;OFFS BCO 75gr 69,5X97,1 IMP2:0;UN;50,613;GR;75;69,5;97,1;CM;0,675;26/09/2008
SE2284351;OFFS BCO 75gr 69,5X97,1 IMP3:0;UN;50,613;GR;75;69,5;97,1;CM;0,675;26/09/2008
SE384351;TROQ OFFS 75gr 29 X 22,5 CM;UN;11;GR;75;22,5;29;CM;0,147;26/09/2008
SE5187735;BOB QUIM 54,5gr 9 1/2 X 7 1/3;UN;2,43;GR;54;9,5;7,33;IN;0,045;26/09/2008
SE5187736;BOB QUIM 54,5gr 14 7/8 X 7 1/3;UN;3,783;GR;53,75;14,875;7,33;IN;0,07;27/09/2008
SE5186428;BOB QUIM 54,5gr 9 1/2 X 5 1/2;UN;1,82;GR;54;9,5;5,5;IN;0,034;29/09/2008
SE300037;TROQ KRAFT IRANI 55gr OFICIO;UN;10,58;GR;55;25;35;CM;0,192;30/09/2008
SE5187737;BOB QUIM 54,5 GR 8 1/2 X 3 2/3;UN;1,096;GR;54,5;8,5;3,66;IN;0,02;6/10/2008
SE2182379;OFFS 75 GR 59,2 X 98CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;7/10/2008
SE2282379;OFFS 75 GR 59,2 X 98 CM IMP 4:;UN;43,512;GR;75;59,2;98;CM;0,58;7/10/2008
SE382379;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,859;GR;75;23,5;15;CM;0,078;7/10/2008
SE5187738;BOB BOND 60 GR 9 1/2 X 11 2P;UN;4,04;GR;60;9,5;11;IN;0,067;8/10/2008
SE5187739;BOB QUIM 54,5 GR 9 1/2 X 11 6P;UN;3,6;GR;53,5;9,5;11;IN;0,067;9/10/2008
SE2182378;OFFS 75 GR 59,2X98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;10/10/2008
SE2282378;OFFS 75 GR 59,2X98 CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;10/10/2008
SE382378;TROQ OFFS 75 GR 23,4 X 15 CM;UN;5,859;GR;75;23,4;15;CM;0,077;10/10/2008
SE5187740;BOB BOND 90 GR 10 1/8 X 1 5/12;UN;0,834;GR;90;25,75;3,6;CM;0,009;10/10/2008
SE2182380;OFFS 75 GR 59,2X98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;14/10/2008
SE382380;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,859;GR;75;23,5;15;CM;0,078;14/10/2008
SE2182381;OFFS 75 GR 53,9 X 78,3 IMP 2:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;16/10/2008
SE2282381;OFFS 75 GR 53,9 X 78,3 IMP 4:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;16/10/2008
SE382381;TROQ OFFS 75 GR 22,5 X 18,5 CM;UN;6,74;GR;75;22,5;18,5;CM;0,09;16/10/2008
SE5187741;BOB BOND 60 GR 9 1/2 X 11 2P;UN;4,04;GR;60;9,5;11;IN;0,067;16/10/2008
SE5187742;BOB BOND 60 GR 9 1/2 X 5 1/2;UN;2,02;GR;60;9,5;5,5;IN;0,034;16/10/2008
SE5187743;BOB BOND 60 GR 9 1/2 X 13;UN;4,78;GR;60;9,5;13;IN;0,08;16/10/2008
SE5187744;BOB BOND 60 GR 9 1/2 X 11 4P;UN;4,04;GR;60;9,5;11;IN;0,067;16/10/2008
SE5187745;BOB QUIM 54,5 GR 8 1/2 X 2 5/6;UN;0,832;GR;53,6;8,5;2,83;IN;0,016;16/10/2008
SE5187746;BOB QUIM 54,5 GR 8 1/2 X 2 5/6;UN;0,832;GR;54,5;8,5;2,83;IN;0,016;16/10/2008
SE5187747;BOB QUIM 54,5 GR 9 X 3 2/3 3P;UN;1,15;GR;54;9;3,66;IN;0,021;16/10/2008
SE5187748;BOB BOND 60 GR 8 1/2 X 7 1/3;UN;2,413;GR;60;8,5;7,33;IN;0,04;16/10/2008
SE5187749;BOB QUIM 54,5 GR 8 1/2 X 11 4P;UN;3,24;GR;53,75;8,5;11;IN;0,06;16/10/2008
SE5187750;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,17;GR;54;8,5;7,33;IN;0,04;16/10/2008
SE5187751;BOB QUIM 54,5 GR 9 1/2 X 13 3P;UN;4,3;GR;54;9,5;13;IN;0,08;18/10/2008
SE000136;OFFS BCO 75 GR 53 X 87 CM;UN;34,575;GR;75;53;87;CM;0,461;20/10/2008
SE300038;TROQ OFFS 75 GR 23,5 X 11 DIAM;UN;4,058;GR;75;23,5;11;CM;0,054;21/10/2008
SE5187753;BOB QUIM 54,5 GR 9 1/2 X 5 1/2;UN;1,82;GR;54;9,5;5,5;IN;0,034;22/10/2008
SE5187754;BOB QUIM 54,5 GR 9 1/2 X 5 1/2;UN;1,82;GR;54;9,5;5,5;IN;0,034;22/10/2008
SE5186967;BOB BOND 60 GR 9 1/6X2 3/4 3P;UN;0,975;GR;60;9,167;2,75;IN;0,016;25/10/2008
SE5187755;BOB QUIM 54,5gr 8 1/2 X 11 3P;UN;3,257;GR;54;8,5;11;IN;0,06;28/10/2008
SE2182383;OFFS 75 GR 95 X 57 CM IMP 1:0;UN;40,613;GR;75;95;57;CM;0,542;29/10/2008
SE2182384;OFFS 75 GR 95 X 57 CM IMP 1:0;UN;40,613;GR;75;95;57;CM;0,542;29/10/2008
SE382383;TROQ OFFS 75 GR 21,5 X 11,5 CM;UN;4,016;GR;75;21,5;11,5;CM;0,054;29/10/2008
SE382384;TROQ OFFS 75 GR 21,5 X 11,5 CM;UN;4,016;GR;75;21,5;11,5;CM;0,054;29/10/2008
SE2182385;OFFS 75 GR 59,2 X 98 CM IMP2:0;UN;43,512;GR;75;59,2;98;CM;0,58;30/10/2008
SE2282385;OFFS 75GR 59,2 X 98 CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;30/10/2008
SE382385;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,859;GR;75;23,5;15;CM;0,078;30/10/2008
SE5187758;BOB QUIM 54,5 GR 13 X 81/2 3P;UN;3,885;GR;54;13;8,5;IN;0,071;31/10/2008
SE2182386;OFFS 75 GR 59,2X98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;4/11/2008
SE2282386;OFFS 75 GR 59,2X98 CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;4/11/2008
SE382386;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,896;GR;75;23,5;15;CM;0,079;4/11/2008
SE5187759;BOB QUIM 54.5 GR 9 1/2 X 5 1/2;UN;1,82;GR;54;9,5;5,5;IN;0,034;4/11/2008
SE5181296;BOB TERM 55 GR 80 X 60 MICROPE;KG;1;KG;55;7,9;6000;CM;18,182;6/11/2008
SE5187760;BOB QUIM 54,5 GR 9 1/2 X 5 1/2;UN;1,82;GR;54;9,5;5,5;IN;0,034;8/11/2008
SE2182390;OFFS 75 GR 53,9 X 78,3 IMP 2:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;10/11/2008
SE2282390;OFFS 75 GR 53,9 X 78,3 IMP 4:0;UN;31,653;GR;75;53,9;78,3;CM;0,422;10/11/2008
SE382390;TROQ OFFS 75 GR 22,5 X 18,5 CM;UN;6,74;GR;75;22,5;18,8;CM;0,09;10/11/2008
SE5187762;BOB QUIM 54,5 GR 14 7/8X8 1/2;UN;4,44;GR;54,5;14,875;8,5;IN;0,082;11/11/2008
SE5187763;BOB QUIM 54,5 GR 9 1/2 X 11;UN;3,67;GR;54,5;9,5;11;IN;0,067;12/11/2008
SE5187764;BOB QUIM 54,5GR 7 7/16 X 8 1/2;UN;2,22;GR;54,5;7,438;8,5;IN;0,041;20/11/2008
SE5187765;BOB QUIM 54,5 GR 8 1/2 X 4 1/4;UN;1,414;GR;60,67;8,5;4,25;IN;0,023;25/11/2008
SE5287765;BOB FORM 75 GR 8 1/2 X 4 1/4;UN;1,748;GR;75;8,5;4,25;IN;0,023;25/11/2008
SE2182391;OFFS 75 GR 59,2 X 98 CM IMP 2:;UN;43,512;GR;75;59,2;98;CM;0,58;28/11/2008
SE2282391;OFFS 75 GR 59,2 X 98 CM IMP 4:;UN;43,512;GR;75;59,2;98;CM;0,58;28/11/2008
SE382391;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,859;GR;75;23,5;15;CM;0,078;28/11/2008
SE2182392;OFFS 75 GR 95 X 54 CM IMP 1:0;UN;38,475;GR;75;95;54;CM;0,513;1/12/2008
SE2182393;OFFS 75 GR 98 X 68 CM IMP 1:0;UN;49,98;GR;75;98;68;CM;0,666;1/12/2008
SE2182394;OFFS 75 GR 95 X 54 CM IMP 1:0;UN;38,475;GR;75;95;54;CM;0,513;1/12/2008
SE2182395;OFFS 75 GR 98 X 68 CM IMP 1:0;UN;49,98;GR;75;98;68;CM;0,666;1/12/2008
SE382392;TROQ OFFS 75 GR 23,5 X 11 CM;UN;4,058;GR;75;23,5;11;CM;0,054;1/12/2008
SE382393;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,81;GR;75;23,5;15;CM;0,077;1/12/2008
SE382394;TROQ OFFS 75 GR 23,5 X 11 CM;UN;4,058;GR;75;23,5;11;CM;0,054;1/12/2008
SE382395;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,81;GR;75;23,5;15;CM;0,077;1/12/2008
SE5187768;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,19;GR;54,5;8,5;7,33;IN;0,04;1/12/2008
SE5187769;BOB BOND 75 GR 8 1/2 X 3 2/3;UN;1,51;GR;75;8,5;3,66;IN;0,02;1/12/2008
SE5287769;BOB QUIM 54 GR 8 1/2 X 3 2/3;UN;1,086;GR;54;8,5;3,66;IN;0,02;1/12/2008
SE5387769;BOB QUIM 75 GR 8 1/2 X 3 2/3;UN;1,508;GR;75;8,5;3,66;IN;0,02;2/12/2008
SE5186777;BOB BOND 60 GR 9 1/2 X 11;UN;4,045;GR;60;9,5;11;IN;0,067;3/12/2008
SE5187770;BOB QUIM 54,5 GR 9 1/2 X 6 1/2;UN;2,17;GR;54,5;9,5;6,5;IN;0,04;3/12/2008
SE5187771;BOB BOND 60 GR 6 5/6 X 2 5/6;UN;0,75;GR;60;6,833;2,833;IN;0,012;3/12/2008
SE5186891;BOB FORM 60 GR 4 5/8 X 2 3/4;UN;0,49;GR;60;4,625;2,75;IN;0,008;4/12/2008
SE5187772;BOB FORM 60 GR 9 1/2 X 13;UN;4,78;GR;60;9,5;13;IN;0,08;4/12/2008
SE5187773;BOB FORM 60 GR 9 1/2 X 11;UN;4,045;GR;60;9,5;11;IN;0,067;4/12/2008
SE5187774;BOB QUIM 54,5 10 5/8 X 71/3;UN;2,715;GR;54;10,625;7,33;IN;0,05;4/12/2008
SE5187766;BOB QUIM 54,5 GR 9 1/2 X 5 1/2;UN;1,84;GR;54,5;9,5;5,5;IN;0,034;6/12/2008
SE5187775;BOB QUIM 54,5 GR 9 1/2 X 6 1/2;UN;2,151;GR;54;9,5;6,5;IN;0,04;10/12/2008
SE2182396;OFFS 75 GR 95 X 57 CM IMP 1:0;UN;40,613;GR;75;95;57;CM;0,542;13/12/2008
SE2184353;OFFS 75 GR 69,5X97,1CM IMP 0:1;UN;50,613;GR;75;69,5;97,1;CM;0,675;13/12/2008
SE2284353;OFFS 75gr 69,5X97,1CM IMP 2:1;UN;50,613;GR;75;69,5;97,1;CM;0,675;13/12/2008
SE2384353;OFFS 75 GR 69,5X97,1CM IMP 4:1;UN;50,613;GR;75;69,5;97,1;CM;0,675;13/12/2008
SE382396;TROQ OFFS 75 GR 21,5 X 11,5 CM;UN;4,016;GR;75;21,5;11,5;CM;0,054;13/12/2008
SE384353;TROQ OFFS 75 GR 22,5 X 29 CM;UN;10,996;GR;75;22,5;29;CM;0,147;13/12/2008
SE5187776;BOB QUIM 54,5 GR 5 3/4 X 5 1/2;UN;1,094;GR;53,6;5,75;5,5;IN;0,02;13/12/2008
SE5187777;BOB QUIM 54,5GR 10 5/8 X 8 1/2;UN;3,175;GR;54,5;10,625;8,5;IN;0,058;15/12/2008
SE2182398;OFFS 75 GR 98X68 CM IMP 2:0;UN;49,98;GR;75;98;68;CM;0,666;16/12/2008
SE2182400;OFFS 75 GR 59,2 X 98CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;16/12/2008
SE2282398;OFFS 75 GR 98 X 68 CM IMP 4:0;UN;49,98;GR;75;98;68;CM;0,666;16/12/2008
SE2282400;OFFS 75 GR 59,2 X 98CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;16/12/2008
SE382400;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,86;GR;75;23,5;15;CM;0,078;16/12/2008
SE382398;TROQ OFFS 75 GR 23,4 X 15 CM;UN;5,755;GR;75;23,4;15;CM;0,077;17/12/2008
SE000137;OFFS BCO 75 GR 96 X 70 CM;UN;50,4;GR;75;96;70;CM;0,672;18/12/2008
SE000138;OFFS BCO 75 GR 70 X 96 CM;UN;50,4;GR;75;70;96;CM;0,672;22/12/2008
SE2183022;OFFS 75 GR 98 X 68 CM IMP 2:0;UN;49,98;GR;75;98;68;CM;0,666;22/12/2008
SE2283022;OFFS 75 GR 98 X 68 CM IMP 4:0;UN;49,98;GR;75;98;68;CM;0,666;22/12/2008
SE383022;TROQ OFFS 75 GR 23,4 X 15 CM;UN;5,81;GR;75;23,4;15;CM;0,077;22/12/2008
SE5187778;BOB QUIM 54,5 GR 9 1/2 X 11 3P;UN;3,64;GR;54;9,5;11;IN;0,067;22/12/2008
SE5187779;BOB QUIM 54,5 GR 8 1/2 X 7 1/3;UN;2,172;GR;54;8,5;7,33;IN;0,04;22/12/2008
SE2182401;OFFS 75GR 59,2 X 98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;29/12/2008
SE2282401;OFFS 75GR 59,2 X 98 CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;29/12/2008
SE382401;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,859;GR;75;23,5;15;CM;0,078;29/12/2008
SE2182402;OFFS 75 GR 59,2 X98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;7/01/2009
SE2197486;OFFS 75 GR 49X55,88 CM IMP 4:2;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE2197487;OFFS 75 GR 49X55,88 CM IMP 4:2;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE2197488;OFFS 75 GR 49X55,88 CM IMP 4:2;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE2197489;OFFS 75 GR 49X55,88 CM IMP 4:2;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE2197490;OFFS 75 GR 49X55,88 CM IMP 4:2;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE2197491;OFFS 75 GR 49X55,88 CM IMP 4:2;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE2282402;OFFS 75 GR 59,2X98 CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;7/01/2009
SE382402;TROQ OFFS 75 GR 23,4X15 CM;UN;5,896;GR;75;23,4;15;CM;0,079;7/01/2009
SE797486;OFFS 75 GR 49X55,88 CM IMP 4:0;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE797487;OFFS 75 GR 49X55,88 CM IMP 4:0;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE797488;OFFS 75 GR 49X55,88 CM IMP 4:0;UN;20,536;GR;75;45;55,88;CM;0,273;7/01/2009
SE797489;OFFS 75 GR 49X55,88 CM IMP 4:0;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE797490;OFFS 75 GR 49X55,88 CM IMP 4:0;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE797491;OFFS 75 GR 49X55,88 CM IMP 4:0;UN;20,536;GR;75;49;55,88;CM;0,273;7/01/2009
SE000139;OFFS BCO 75 GR 60 X 90 CM;UN;40,5;GR;75;60;90;CM;0,54;8/01/2009
SE2182403;OFF 75 GR 59,2 X 98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;9/01/2009
SE2282403;OFFS 75GR 59,2 X 98 CM IMP 4:0;UN;43,512;GR;75;59,2;98;CM;0,58;9/01/2009
SE382403;TROQ OFFS 75GR 23,4 X 15 CM;UN;5,9;GR;75;23,4;15;CM;0,079;9/01/2009
SE5187780;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187781;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187782;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187783;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187784;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187785;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187786;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187787;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187788;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187789;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187790;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187791;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187792;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187793;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187794;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187795;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187796;BOB QUIM 54,5GR 8 1/2X8 1/2 3P;UN;2,517;GR;54,5;8,5;8,5;IN;0,047;9/01/2009
SE5187798;BOB QUIM 54,5GR 14 7/8 X5 1/2;UN;2,85;GR;54,5;14,875;5,5;IN;0,053;10/01/2009
SE2182404;OFFS 75 GR 98 X 68 CM IMP 2:0;UN;49,98;GR;75;98;68;CM;0,666;14/01/2009
SE2184354;OFFS 75GR 69,5X97,1 CM IMP 2:0;UN;50,613;GR;75;69,5;97,1;CM;0,675;14/01/2009
SE2284354;OFFS 75GR 69,5X97,1 CM IMP4:0;UN;50,613;GR;75;69,5;97,1;CM;0,675;14/01/2009
SE382404;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,81;GR;75;23,5;15;CM;0,077;14/01/2009
SE384354;TROQ OFFS 75 GR 29 X 22,5 CM;UN;11;GR;75;29;22,5;CM;0,147;14/01/2009
SE5187799;BOB QUIM 54,5 GR 9 1/2 X 11 4P;UN;3,624;GR;53,75;9,5;11;IN;0,067;14/01/2009
SE5187800;BOB QUIM 54,5 6 3/4 X 8 1/2 2P;UN;2,017;GR;54,5;6,75;8,5;IN;0,037;14/01/2009
SE2182405;OFFS 75 GR 59,2 X 98 CM IMP2:0;UN;43,512;GR;75;59,2;98;CM;0,58;17/01/2009
SE2282405;OFFS 75 GR 59,2 X 98 CM IMP4:0;UN;43,512;GR;75;59,2;98;CM;0,58;17/01/2009
SE382405;TROQ OFFS 75 GR 23,4 X 15 CM;UN;5,709;GR;75;23,4;15;CM;0,076;17/01/2009
SE5187802;BOB QUIM 54,5GR 11 1/4 X 7 1/3;UN;2,874;GR;54;11,25;7,33;IN;0,053;21/01/2009
SE5187803;BOB QUIM 54,5 GR 11 1/4 X 71/3;UN;2,874;GR;54;11,25;7,33;IN;0,053;21/01/2009
SE2182407;OFFS 75 GR 83 X 50,3 CM IMP 1:;UN;31,31;GR;75;83;50,3;CM;0,417;27/01/2009
SE2182409;OFFS 75 GR 98 X 68 CM IMP1:0;UN;49,98;GR;75;98;68;CM;0,666;27/01/2009
SE382407;TROQ OFFS 75 GR 23,4 X 10,5 CM;UN;4,124;GR;75;23,4;10,5;CM;0,055;27/01/2009
SE382409;TROQ OFFS 75 GR 23,4 X 15 CM;UN;5,806;GR;75;23,4;15;CM;0,077;27/01/2009
SE5187804;BOB QUIM 54,5 GR 9 1/2 X 7 1/3;UN;2,416;GR;53,75;9,5;7,33;IN;0,045;30/01/2009
SE5187805;BOB QUIM 54,5GR 9 1/2 X 5 1/2;UN;1,837;GR;54,5;9,5;5,5;IN;0,034;30/01/2009
SE2182410;OFFS 75 GR 59,2 X 98 CM IMP2:0;UN;43,512;GR;75;59,2;98;CM;0,58;3/02/2009
SE2282410;OFFS 75 GR 59,2 X 98 CM IMP4:0;UN;43,512;GR;75;59,2;98;CM;0,58;3/02/2009
SE382410;TROQ OFFS 75 GR 23,4 X 15 CM;UN;5,896;GR;75;23,4;15;CM;0,079;3/02/2009
SE5187806;BOB QUIM 54,5GR 10 5/8 X 8 1/2;UN;3,146;GR;54;10,625;8,5;IN;0,058;3/02/2009
SE5180267;BOB BOND 60 GR 76 X 40 IMP;KG;1;KG;56;7,5;4000;CM;17,857;5/02/2009
SE5187807;BOB QUIM 54,5 GR 9 1/2 X 11 4P;UN;3,624;GR;53,75;9,5;11;IN;0,067;9/02/2009
SE2182411;OFFS 75GR 59,2X98 CM IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;13/02/2009
SE2282411;OFFS 75 GR 59,2 X 98 CM IMP4:0;UN;43,512;GR;75;59,2;98;CM;0,58;13/02/2009
SE382411;TROQ OFFS 75 GR 23,5 X 15 CM;UN;5,859;GR;75;23,5;15;CM;0,078;13/02/2009
SE5187812;BOB QUIM 54,5GR 11 3/4X8 1/2;UN;3,51;GR;54,5;11,75;8,5;IN;0,064;13/02/2009
SE5187809;BOB FORM 60 GR 14 7/8 X 11 2P;UN;6,33;GR;60;14,875;11;IN;0,106;14/02/2009
SE5187810;BOB QUIM 54,5 7 1/2 X 7 1/3 2P;UN;1,93;GR;54,5;7,5;7,33;IN;0,035;14/02/2009
SE5187811;BOB QUIM 54,5 GR 8 1/2 X 8 1/2;UN;2,49;GR;53,6;8,5;8,5;IN;0,047;14/02/2009
SE2182413;OFFS 75 GR 59,2 X 98 IMP 2:0;UN;43,512;GR;75;59,2;98;CM;0,58;19/02/2009
